1,Free or paid app (iOS)
7,Update (iOS)
IA1,In-App Purchase (iOS)
IA1-M,In-App Purchase (OSX)
IA9,In-App Purchase Subscription (iOS)
IA9-M,In-App Purchase Subscription (OSX)
IAY,In-App Purchase Auto-renewable Subscription (iOS)
IAY-M,In-App Purchase Auto-renewable Subscription (OSX)
IAC,In-App Purchase Free Subscription (iOS)
IAC-M,In-App Purchase Free Subscription (OSX)
1F,Free or paid app (iOS - Universal)
7F,Update (iOS - Universal)
1T,Free or paid app (iOS - iPad)
7T,Update (iOS - iPad)
F1,Free or paid app (OSX)
F7,Update (OSX)
FI1,In-App Purchase (OSX)
1E,Paid app (iOS - Custom iPhone and iPod Touch)
1EP,Paid app (iOS - Custom iPad)
1EU,Paid app (iOS - Custom Universal)
1-B,App Bundle
3,Redownload (iOS)
3F,Redownload (iOS - Universal)
3T,Redownload (iOS - iPad)
F3,Redownload (OSX)